pop,dos,id,draw,blocked,p,q
1,1,197,56.3,0,67,-153
1,5,197,56.3,0,61,-137
1,10,197,56.3,0,64,-121
1,0,105,5.7,0,72,38
1,1,105,5.7,0,67,38
1,5,105,5.7,0,61,38
1,10,105,5.7,1,64,38
1,0,152,63.3,0,72,36
1,1,152,63.3,0,67,36
1,5,152,63.3,0,61,36
1,10,152,63.3,0,64,36
1,0,70,45.3,0,43,-154
1,1,70,45.3,0,43,-154
1,5,70,45.3,0,44,-154
1,10,70,45.3,0,43,-154
1,0,187,29.0,0,72,30
1,1,187,29.0,0,67,32
1,5,187,29.0,0,61,32
1,10,187,29.0,0,64,32
1,0,60,21.8,0,43,41
1,1,60,21.8,0,43,41
1,5,60,21.8,0,44,41
1,10,60,21.8,0,43,41
1,0,157,76.6,0,72,40
1,1,157,76.6,0,67,40
1,5,157,76.6,0,61,40
1,10,157,76.6,0,64,40
1,0,146,19.6,0,72,38
1,1,146,19.6,0,67,40
1,5,146,19.6,0,61,40
1,10,146,19.6,0,64,40
1,0,79,94.7,0,43,-102
1,1,79,94.7,0,43,-102
1,5,79,94.7,0,44,-102
1,10,79,94.7,0,43,-102
1,0,7,41.0,0,43,36
1,1,7,41.0,0,43,36
1,5,7,41.0,0,44,36
1,10,7,41.0,0,43,36
1,0,84,70.5,0,43,-104
1,1,84,70.5,0,43,-104
1,5,84,70.5,0,44,-96
1,10,84,70.5,0,43,-104
1,0,56,8.6,0,43,42
1,1,56,8.6,0,43,42
1,5,56,8.6,0,44,42
1,10,56,8.6,1,43,42
1,0,66,83.1,0,43,-120
1,1,66,83.1,0,43,-120
1,5,66,83.1,0,44,-120
1,10,66,83.1,0,43,-120
1,0,169,38.0,0,72,36
1,1,169,38.0,0,67,41
1,5,169,38.0,0,61,41
1,10,169,38.0,0,64,41
1,0,8,52.3,0,43,38
1,1,8,52.3,0,43,38
1,5,8,52.3,0,44,38
1,10,8,52.3,0,43,38
1,0,191,30.6,0,72,-183
1,1,191,30.6,0,67,-161
1,5,191,30.6,0,61,-161
1,10,191,30.6,0,64,-161
1,0,153,81.9,0,72,39
1,1,153,81.9,0,67,39
1,5,153,81.9,0,61,39
1,10,153,81.9,0,64,39
1,0,176,73.6,0,72,38
1,1,176,73.6,0,67,38
1,5,176,73.6,0,61,38
1,10,176,73.6,0,64,38
1,0,4,70.6,0,43,39
1,1,4,70.6,0,43,39
1,5,4,70.6,0,44,39
1,10,4,70.6,0,43,39
1,0,61,45.9,0,43,40
1,1,61,45.9,0,43,40
1,5,61,45.9,0,44,40
1,10,61,45.9,0,43,40
1,0,29,2.4,0,43,40
1,1,29,2.4,0,43,40
1,5,29,2.4,1,44,40
1,10,29,2.4,1,43,40
1,0,183,66.8,0,72,43
1,1,183,66.8,0,67,43
1,5,183,66.8,0,61,43
1,10,183,66.8,0,64,43
1,0,200,74.6,0,72,-165
1,1,200,74.6,0,67,-165
1,5,200,74.6,0,61,-165
1,10,200,74.6,0,64,-165
1,0,102,66.8,0,72,35
1,1,102,66.8,0,67,37
1,5,102,66.8,0,61,37
1,10,102,66.8,0,64,37
1,0,193,71.3,0,72,-186
1,1,193,71.3,0,67,-134
1,5,193,71.3,0,61,-160
1,10,193,71.3,0,64,-160
1,0,118,2.8,0,72,33
1,1,118,2.8,0,67,33
1,5,118,2.8,1,61,35
1,10,118,2.8,1,64,35
1,0,95,40.7,0,43,-133
1,1,95,40.7,0,43,-133
1,5,95,40.7,0,44,-133
1,10,95,40.7,0,43,-133
1,0,192,66.7,0,72,-202
1,1,192,66.7,0,67,-202
1,5,192,66.7,0,61,-110
1,10,192,66.7,0,64,-202
1,0,137,84.0,0,72,36
1,1,137,84.0,0,67,36
1,5,137,84.0,0,61,36
1,10,137,84.0,0,64,36
1,0,55,15.2,0,43,38
1,1,55,15.2,0,43,38
1,5,55,15.2,0,44,38
1,10,55,15.2,0,43,38
1,0,27,2.7,0,43,39
1,1,27,2.7,0,43,39
1,5,27,2.7,1,44,39
1,10,27,2.7,1,43,39
1,0,57,12.2,0,43,41
1,1,57,12.2,0,43,41
1,5,57,12.2,0,44,41
1,10,57,12.2,0,43,41
1,0,92,62.9,0,43,-109
1,1,92,62.9,0,43,-109
1,5,92,62.9,0,44,-109
1,10,92,62.9,0,43,-109
1,0,141,48.7,0,72,35
1,1,141,48.7,0,67,35
1,5,141,48.7,0,61,35
1,10,141,48.7,0,64,35
1,0,180,67.7,0,72,38
1,1,180,67.7,0,67,38
1,5,180,67.7,0,61,38
1,10,180,67.7,0,64,38
1,0,18,95.6,0,43,42
1,1,18,95.6,0,43,42
1,5,18,95.6,0,44,42
1,10,18,95.6,0,43,42
1,0,63,27.9,0,43,39
1,1,63,27.9,0,43,39
1,5,63,27.9,0,44,39
1,10,63,27.9,0,43,39
1,0,74,10.1,0,43,-144
1,1,74,10.1,0,43,-144
1,5,74,10.1,0,44,-144
1,10,74,10.1,0,43,-144
1,0,173,28.7,0,72,33
1,1,173,28.7,0,67,39
1,5,173,28.7,0,61,39
1,10,173,28.7,0,64,39
1,0,182,93.0,0,72,31
1,1,182,93.0,0,67,31
1,5,182,93.0,0,61,33
1,10,182,93.0,0,64,33
1,0,195,69.3,0,72,-108
1,1,195,69.3,0,67,-108
1,5,195,69.3,0,61,-90
1,10,195,69.3,0,64,-108
1,0,121,42.1,0,72,35
1,1,121,42.1,0,67,37
1,5,121,42.1,0,61,37
1,10,121,42.1,0,64,37
1,0,16,9.5,0,43,40
1,1,16,9.5,0,43,40
1,5,16,9.5,0,44,40
1,10,16,9.5,1,43,40
1,0,23,84.9,0,43,40
