Population,ID,Prob,P,Q
1,193,5,57,-148
1,193,10,47,-148
1,118,0,54,39
1,118,1,49,39
1,118,5,57,39
1,95,0,50,-119
1,95,1,45,-119
1,95,5,53,-119
1,95,10,43,-119
1,192,0,54,-119
1,192,1,49,-119
1,192,5,57,-119
1,192,10,47,-119
1,137,0,54,38
1,137,1,49,38
1,137,5,57,38
1,137,10,47,40
1,55,0,50,38
1,55,1,45,38
1,55,5,53,38
1,55,10,43,38
1,27,0,50,38
1,27,1,45,38
1,27,5,53,38
1,27,10,43,38
1,57,0,50,41
1,57,1,45,41
1,57,5,53,41
1,57,10,43,41
1,92,0,50,-108
1,92,1,45,-108
1,92,5,53,-108
1,92,10,43,-108
1,141,0,54,38
1,141,1,49,41
1,141,5,57,38
1,141,10,47,41
1,180,0,54,41
1,180,1,49,42
1,180,5,57,41
1,180,10,47,42
1,18,0,50,39
1,18,1,45,39
1,18,5,53,36
1,18,10,43,39
1,63,0,50,37
1,63,1,45,37
1,63,5,53,37
1,63,10,43,38
1,74,0,50,-166
1,74,1,45,-166
1,74,5,53,-166
1,74,10,43,-110
1,173,0,54,40
1,173,1,49,40
1,173,10,47,40
1,182,0,54,42
1,182,1,49,42
1,182,5,57,42
1,182,10,47,42
1,195,0,54,-112
1,195,1,49,-112
1,195,10,47,-112
1,121,0,54,36
1,121,1,49,36
1,121,5,57,36
1,121,10,47,36
1,16,0,50,39
1,16,1,45,39
1,16,5,53,39
1,16,10,43,39
1,23,0,50,39
1,23,1,45,39
1,23,5,53,39
1,23,10,43,39
1,59,0,50,38
1,59,1,45,38
1,59,5,53,38
1,59,10,43,38
1,93,0,50,-139
1,93,1,45,-139
1,93,5,53,-139
1,93,10,43,-139
1,126,0,54,36
1,126,1,49,36
1,126,5,57,36
1,184,0,54,38
1,184,1,49,40
1,184,5,57,38
1,19,0,50,41
1,19,1,45,41
1,19,5,53,41
1,19,10,43,41
1,83,0,50,-100
1,83,1,45,-87
1,83,5,53,-100
1,83,10,43,-90
1,75,0,50,-92
1,75,1,45,-92
1,75,5,53,-92
1,75,10,43,-86
1,122,0,54,38
1,122,1,49,38
1,122,5,57,38
1,5,0,50,42
1,5,1,45,42
1,5,5,53,42
1,5,10,43,42
1,198,0,54,-114
1,198,1,49,-114
1,198,5,57,-114
1,198,10,47,-114
1,99,0,50,-109
1,99,1,45,-109
1,99,10,43,-109
1,166,0,54,39
1,166,1,49,39
1,166,5,57,36
1,166,10,47,39
1,2,0,50,38
1,2,1,45,38
1,2,5,53,38
1,2,10,43,40
1,113,0,54,38
1,113,1,49,38
1,113,5,57,38
1,113,10,47,38
1,139,0,54,39
1,139,1,49,39
1,139,5,57,39
1,139,10,47,39
1,52,0,50,36
1,52,1,45,36
1,52,5,53,36
1,17,0,50,39
1,17,1,45,39
1,17,5,53,39
1,17,10,43,39
1,47,0,50,41
1,47,1,45,41
1,47,5,53,41
1,47,10,43,41
1,127,0,54,39
1,127,1,49,39
1,127,5,57,39
1,127,10,47,39
1,22,0,50,40
1,22,1,45,40
1,22,5,53,40
1,22,10,43,40
1,71,0,50,-200
1,71,1,45,-200
1,71,5,53,-200
1,71,10,43,-200
1,128,0,54,37
1,128,1,49,37
1,128,5,57,37
1,128,10,47,37
1,50,0,50,42
1,50,1,45,42
1,50,5,53,42
1,50,10,43,42
1,136,0,54,41
1,136,1,49,41
1,136,5,57,41
1,136,10,47,41
1,20,0,50,40
1,20,1,45,40
1,20,5,53,40
1,20,10,43,40
1,40,0,50,42
1,40,1,45,42
1,40,5,53,42
1,40,10,43,42
1,185,0,54,41
1,185,1,49,41
1,185,5,57,41
1,185,10,47,41
1,48,0,50,39
1,48,1,45,39
1,48,5,53,39
1,48,10,43,41
1,44,0,50,37
1,44,1,45,37
1,44,5,53,35
1,31,0,50,38
1,31,1,45,38
1,31,5,53,38
1,25,0,50,42
1,25,1,45,42
1,25,10,43,42
1,80,0,50,-99
1,80,1,45,-99
1,80,5,53,-99
1,80,10,43,-89
2,203,0,58,0
2,203,1,55,0
2,203,5,46,0
2,203,10,62,0
2,201,0,56,0
2,201,1,53,0
2,201,5,44,0
2,201,10,60,0
2,202,0,60,0
2,202,1,57,0
2,202,5,48,0
2,202,10,64,0
2,40,0,56,40
2,40,1,53,40
2,40,5,44,40
2,40,10,60,40
2,90,0,56,-130
2,90,1,53,-130
2,90,5,44,-130
2,90,10,60,-130
2,68,0,56,-120
2,68,1,53,-120
2,68,5,44,-95
2,68,10,60,-120
2,150,0,60,40
2,150,1,57,40
2,150,5,48,40
2,150,10,64,37
2,135,0,60,35
2,135,1,57,40
2,135,5,48,40
2,135,10,64,35
2,190,0,60,42
2,190,1,57,42
2,190,5,48,42
2,190,10,64,42
2,186,0,60,35
2,186,1,57,35
2,186,5,48,37
2,186,10,64,35
2,37,0,56,42
2,37,1,53,42
2,37,5,44,44
2,37,10,60,42
2,195,0,60,-169
2,195,1,57,-169
2,195,5,48,-169
2,195,10,64,-169
2,187,0,60,39
2,187,1,57,39
2,187,5,48,41
2,187,10,64,39
2,101,0,60,38
2,101,1,57,38
2,101,5,48,38
2,61,0,56,38
2,61,1,53,38
2,61,5,44,38
2,61,10,60,36
2,124,0,60,38
2,124,1,57,38
2,124,5,48,40
2,124,10,64,37
2,58,0,56,40
2,58,1,53,40
2,58,5,44,43
2,58,10,60,40
2,191,0,60,-128
2,191,1,57,-128
2,191,5,48,-128
2,191,10,64,-128
2,154,0,60,38
2,154,1,57,38
2,154,5,48,38
2,154,10,64,38
2,4,0,56,37
2,4,1,53,37
2,4,5,44,39
2,4,10,60,37
2,49,0,56,37
2,49,1,53,37
2,49,5,44,37
2,49,10,60,37
2,14,0,56,40
2,14,1,53,40
2,14,5,44,40
2,14,10,60,38
2,33,0,56,38
2,33,1,53,38
2,33,5,44,40
2,27,0,56,39
2,27,1,53,39
2,27,5,44,39
2,27,10,60,39
2,11,0,56,40
2,11,1,53,40
2,11,5,44,40
2,11,10,60,37
2,9,0,56,40
2,9,1,53,40
2,9,5,44,40
2,9,10,60,38
2,105,0,60,38
2,105,1,57,38
2,105,5,48,40
2,105,10,64,38
2,188,0,60,43
2,188,1,57,43
2,188,5,48,43
2,188,10,64,40
2,183,0,60,37
2,183,1,57,37
2,183,10,64,37
2,3,0,56,41
2,3,1,53,41
2,3,10,60,39
2,196,0,60,-143
2,196,1,57,-143
2,196,5,48,-143
2,196,10,64,-143
2,177,0,60,38
2,177,1,57,38
2,177,5,48,41
2,171,0,60,39
2,171,1,57,39
2,171,5,48,42
2,171,10,64,39
2,200,0,60,-172
2,200,1,57,-172
2,200,5,48,-172
2,200,10,64,-172
2,163,0,60,37
2,163,1,57,37
2,163,5,48,37
2,163,10,64,37
2,122,0,60,41
2,122,1,57,41
2,122,5,48,41
2,122,10,64,41
2,170,0,60,37
2,170,1,57,37
2,170,10,64,37
2,112,0,60,33
2,112,1,57,33
2,112,5,48,36
2,112,10,64,33
2,99,0,56,-183
2,99,1,53,-183
2,99,5,44,-183
2,99,10,60,-183
2,28,0,56,41
2,28,1,53,41
2,28,5,44,41
2,71,0,56,-112
2,71,1,53,-112
2,71,5,44,-89
2,71,10,60,-112
2,120,0,60,43
2,120,5,48,43
2,120,10,64,43
2,35,0,56,41
2,35,1,53,41
2,35,5,44,41
2,35,10,60,41
2,76,0,56,-114
2,76,1,53,-114
2,76,5,44,-107
2,10,0,56,38
2,10,1,53,38
2,169,0,60,36
2,169,1,57,37
2,169,5,48,37
2,63,0,56,38
2,63,1,53,38
2,63,5,44,38
2,63,10,60,38
2,148,0,60,31
2,148,1,57,31
2,148,5,48,35
2,148,10,64,31
2,42,0,56,43
2,42,1,53,43
2,42,5,44,43
2,42,10,60,43
2,147,0,60,36
2,147,1,57,38
2,147,5,48,38
2,147,10,64,36
2,32,0,56,40
2,32,1,53,40
2,32,5,44,40
2,32,10,60,36
2,29,0,56,40
2,29,1,53,40
2,29,5,44,40
2,29,10,60,38
2,129,0,60,37
2,129,1,57,37
2,129,5,48,39
2,129,10,64,37
2,153,0,60,35
2,153,1,57,35
2,153,5,48,35
2,178,0,60,39
2,178,1,57,39
2,178,5,48,42
2,178,10,64,39
2,182,0,60,36
2,182,1,57,36
2,182,5,48,36
2,182,10,64,36
2,180,0,60,33
2,180,1,57,33
2,180,5,48,33
2,180,10,64,31
2,139,0,60,42
2,139,1,57,42
2,139,5,48,43
2,139,10,64,42
2,84,0,56,-113
2,84,1,53,-91
2,84,5,44,-103
2,84,10,60,-113
2,119,0,60,33
2,119,1,57,33
2,119,5,48,37
2,119,10,64,33
2,126,0,60,39
2,126,1,57,41
2,126,5,48,41
2,137,0,60,41
2,137,1,57,41
2,137,5,48,43
2,137,10,64,41
2,142,0,60,40
2,142,1,57,40
2,142,5,48,40
2,142,10,64,38
2,149,0,60,39
2,149,1,57,39
2,149,5,48,39
2,149,10,64,39
2,181,0,60,38
2,181,1,57,38
2,181,5,48,41
2,181,10,64,38
2,155,0,60,39
2,155,1,57,39
2,155,5,48,39
2,155,10,64,39
2,81,0,56,-117
2,81,1,53,-108
2,81,5,44,-108
2,81,10,60,-117
2,88,0,56,-151
2,88,1,53,-106
2,88,5,44,-130
2,88,10,60,-151
2,127,0,60,39
2,127,1,57,39
2,127,5,48,39
2,127,10,64,39
2,79,0,56,-220
2,79,1,53,-220
2,79,5,44,-220
2,79,10,60,-220
2,95,0,56,-197
2,95,1,53,-197
2,95,5,44,-197
2,95,10,60,-197
2,5,0,56,40
2,5,1,53,40
2,5,5,44,41
2,5,10,60,40
2,172,0,60,37
2,172,1,57,37
2,172,5,48,37
2,172,10,64,37
2,31,0,56,41
2,31,1,53,41
2,31,5,44,41
2,31,10,60,41
2,56,0,56,45
2,56,1,53,45
2,56,5,44,46
2,72,0,56,-106
2,72,1,53,-106
2,72,5,44,-106
2,72,10,60,-106
2,157,0,60,38
2,157,1,57,38
2,157,10,64,34
2,104,0,60,39
2,104,1,57,39
2,104,5,48,41
2,104,10,64,39
2,21,0,56,38
2,21,1,53,38
2,21,5,44,38
2,21,10,60,38
2,73,0,56,-115
2,73,1,53,-115
2,73,5,44,-115
2,189,0,60,40
2,189,1,57,40
2,189,5,48,40
2,189,10,64,40
2,52,0,56,42
2,52,1,53,42
2,52,5,44,42
2,52,10,60,42
2,198,0,60,-116
2,198,1,57,-116
2,198,5,48,-116
2,179,0,60,37
2,179,1,57,37
2,179,5,48,39
2,179,10,64,37
2,151,0,60,39
2,151,1,57,39
2,151,5,48,39
2,151,10,64,39
2,159,0,60,35
2,159,1,57,35
2,159,5,48,39
2,159,10,64,35
2,19,0,56,38
2,19,1,53,38
2,19,5,44,38
2,19,10,60,38
2,64,0,56,36
2,64,5,44,38
2,64,10,60,36
2,113,0,60,38
2,113,1,57,38
2,113,5,48,41
2,113,10,64,36
2,80,0,56,-103
2,80,1,53,-103
2,80,5,44,-103
2,80,10,60,-103
2,106,0,60,34
2,106,1,57,34
2,106,5,48,37
2,106,10,64,34
2,7,0,56,38
2,7,1,53,41
2,7,5,44,41
2,7,10,60,38
2,91,0,56,-129
2,91,1,53,-129
2,91,5,44,-129
2,91,10,60,-129
2,166,0,60,36
2,166,1,57,36
2,166,10,64,36
2,62,0,56,36
2,62,1,53,36
2,62,5,44,36
2,62,10,60,31
2,15,0,56,39
2,15,1,53,39
2,15,5,44,39
2,15,10,60,36
2,162,0,60,37
2,162,1,57,37
2,162,5,48,39
2,162,10,64,37
2,160,0,60,40
2,160,1,57,40
2,160,5,48,41
2,160,10,64,39
2,168,0,60,40
2,168,1,57,40
2,168,5,48,40
2,168,10,64,36
2,121,0,60,41
2,121,1,57,41
2,121,5,48,41
2,121,10,64,41
2,193,0,60,-115
2,193,1,57,-115
2,193,5,48,-107
2,193,10,64,-115
2,96,0,56,-153
2,96,1,53,-153
2,96,5,44,-153
2,47,0,56,42
2,47,1,53,42
2,47,5,44,42
2,47,10,60,42
2,165,0,60,42
2,165,1,57,42
2,165,5,48,42
2,165,10,64,42
2,22,0,56,36
2,22,1,53,36
2,22,5,44,38
2,22,10,60,34
2,158,0,60,40
2,158,1,57,40
2,51,0,56,37
2,51,1,53,39
2,51,5,44,39
2,51,10,60,37
2,16,0,56,36
2,16,1,53,39
2,16,5,44,39
2,16,10,60,36
2,103,0,60,37
2,103,1,57,37
2,103,5,48,38
2,103,10,64,36
2,70,0,56,-131
2,70,1,53,-131
2,70,5,44,-131
2,77,0,56,-136
2,77,1,53,-136
2,77,5,44,-136
2,77,10,60,-136
2,164,0,60,36
2,164,1,57,36
2,164,5,48,40
2,164,10,64,36
2,46,0,56,38
2,46,1,53,38
2,46,5,44,38
2,46,10,60,36
2,174,0,60,41
2,174,1,57,41
2,174,5,48,43
2,174,10,64,39
2,133,0,60,38
2,133,1,57,38
2,133,5,48,38
2,133,10,64,38
2,87,0,56,-142
2,87,1,53,-142
2,87,5,44,-142
2,82,0,56,-140
2,82,1,53,-140
2,82,5,44,-120
2,82,10,60,-140
2,78,0,56,-105
2,78,1,53,-105
2,78,5,44,-99
2,78,10,60,-105
2,107,0,60,40
2,107,1,57,40
2,107,5,48,40
2,107,10,64,38
2,45,0,56,38
2,45,1,53,38
2,45,5,44,38
2,45,10,60,38
2,89,0,56,-135
2,89,1,53,-135
2,89,5,44,-135
2,89,10,60,-135
2,55,0,56,39
